Building_ID,Building_Type,Governorate,Neighborhood,Day_of_Week,Occupancy_Level,Appliances_Usage_Level,SquareFootage,Last_Maintenance_Date,Average_Temperature,Energy_Consumption
BLD-1028-ZB,Residential,Giza,Dokki,saturDAY,Medium,Low,30259m2,2021-12-20,28.95,3566.01 kWh
BLD-1029-XO,Residential,Giza,Mohandessin,SUNDAY,Low,Medium,27072,2020-01-01,29.37,3409.14 kWh
BLD-1030-RD,Commercial,Cairo,-86Heliopolis,FriDay,High,High,13499m2,2020-09-26,33.05,4230.09 kWh
BLD-1031-MC,Residential,Alexandria,Smouha^21,saturday,Low,High,46749m2,2021-04-22,47.01,4700.42 kWh
BLD-1032-RJ,,Alexandria,$11Smouha,WEDNESDAY,Low,Medium,22931,2023-04-06,34.23,3991.89 kWh
BLD-1033-UT,Industrial,Giza,)35Mohandessin,SaturDay,Low,Low,29341,2020-02-24,30.75,4190.25 kWh
BLD-1034-LS,,,Dokki,Tuesday,Low,Medium,3800,2020-01-01,26.93,2205.2 kWh
BLD-1035-GW,Residential,Cairo,Maadi@45,thursday,Medium,Low,49094m2,2021-10-11,31.84,4483.83 kWh
BLD-1036-CB,Residential,Alexandria,_Gleem84,FriDay,Low,Medium,10403,2020-07-18,,2733.45 kWh
BLD-1037-VH,Industrial,Alexandria,Gleem,saturday,High,Medium,31919m2,2022-09-26,32.65,5151.75 kWh
BLD-1038-YJ,Residential,Cairo,*3Heliopolis,SunDay,Medium,Low,1841m2,2020-01-01,20.0,2086.62 kWh
BLD-1039-CH,Residential,Giza,Dokki,friDAY,Medium,High,42188,2022-05-07,41.65,5038.34 kWh
BLD-1040-DM,Industrial,Alexandria,Smouha#34,Sunday,High,Medium,20920,2024-12-31,43.18,4892.22 kWh
BLD-1041-IO,Commercial,Alexandria,)Gleem16,THURSDAY,Medium,High,12093m2,2020-08-28,,3882.94 kWh
BLD-1042-UL,Residential,Alexandria,%95Gleem,SunDay,High,Medium,27845m2,2022-11-30,33.91,4015.46 kWh
BLD-1043-FL,,Cairo,Heliopolis,sunday,Low,Medium,36832m2,2020-06-05,32.89,3985.45 kWh
BLD-1044-LG,Industrial,,$Gleem6,Monday,High,High,45162,2022-11-12,-4.77,6493.48 kWh
BLD-1045-VI,Industrial,Cairo,New Cairo=38,THURSDAY,High,Medium,14105m2,2024-03-01,33.76,4430.49 kWh
BLD-1046-WV,Industrial,Alexandria,%Gleem6,sunday,High,Low,34914m2,2024-12-31,41.11,5428.56 kWh
BLD-1047-UC,Residential,Alexandria,_6Gleem,Friday,Medium,Low,16025,2023-01-29,32.37,2914.3 kWh
BLD-1048-TU,Industrial,,*39New Cairo,sunday,Low,High,49043m2,2024-12-31,48.44,6028.93 kWh
BLD-1049-FR,Residential,Giza,Mohandessin=88,SuNday,Medium,Low,29898m2,2020-01-05,25.11,3791.16 kWh
BLD-1050-XH,Residential,,New Cairo)93,FRIday,High,High,12615m2,2022-01-07,35.01,3872.54 kWh
BLD-1051-FO,Commercial,Cairo,%23Maadi,Thursday,Low,Medium,3308m2,2020-01-01,24.07,2621.96 kWh
BLD-1052-MI,Industrial,Cairo,+Heliopolis29,MONDAY,Low,Low,35031,2022-08-24,-4.91,4526.12 kWh
BLD-1053-UW,Residential,,Gleem,SATURDAY,High,Low,3211m2,2020-01-01,27.8,2499 kWh
BLD-1054-RH,Residential,Cairo,New Cairo,sunday,Low,Low,10496m2,2020-09-22,29.18,2417.11 kWh
BLD-1055-VK,Industrial,Giza,Dokki,Friday,Low,Medium,49997,2024-06-14,47.85,5505.97 kWh
BLD-1056-YY,Industrial,Cairo,+New Cairo9,SunDay,Low,High,38697,2024-12-31,37.58,5134.71 kWh
BLD-1057-BH,Industrial,Alexandria,Smouha,SuNday,High,High,36484,2022-07-17,44.05,5794.31 kWh
BLD-1058-BZ,Industrial,Cairo,Heliopolis$17,SATURDAY,Low,Low,28587,2020-07-18,37.87,4329.5 kWh
BLD-1059-KM,Industrial,Giza,)Mohandessin21,SaTurday,High,Low,28880,2023-04-02,,4923.27 kWh
BLD-1060-IC,,,*98Gleem,FriDay,Low,High,7559m2,2022-05-01,32.35,4027.56 kWh
BLD-1061-GS,Commercial,Cairo,Heliopolis-35,MoNday,High,Medium,6590m2,2021-02-08,31.97,3753.31 kWh
BLD-1062-WK,Industrial,,%Dokki5,saturDAY,High,Medium,44528m2,2024-12-31,40.93,5868.84 kWh
BLD-1063-GU,Commercial,Alexandria,-Smouha37,wednesday,Medium,Medium,6288m2,2020-01-01,22.57,2968.2 kWh
BLD-1064-PM,Residential,,Smouha,sunday,High,High,9627m2,2021-10-25,34.97,3511.71 kWh
BLD-1065-UO,Commercial,Cairo,*50New Cairo,saturday,Low,Medium,36868,2021-08-14,42.34,4307.72 kWh
BLD-1066-EI,Commercial,Alexandria,Gleem,Sunday,Low,High,6859m2,2021-01-02,30.32,3403.93 kWh
BLD-1067-EH,Residential,Alexandria,Smouha@75,SATURDAY,Medium,High,35988m2,2021-05-08,43.33,4722.68 kWh
BLD-1068-XR,Residential,Cairo,#67Maadi,MONDAY,High,Low,18185,2024-04-14,33.37,3580.93 kWh
BLD-1069-RI,Industrial,,)20New Cairo,sunDAY,Medium,Medium,35633m2,2024-12-31,37.88,5042.08 kWh
BLD-1070-XS,,Cairo,Maadi#72,monDAY,High,High,45359m2,2024-12-31,49.17,6133.65 kWh
BLD-1071-NS,Industrial,Giza,Dokki,tuesDAY,Low,Medium,36335m2,2023-03-15,,4999.76 kWh
BLD-1072-ML,,Cairo,New Cairo)94,sunDAY,Low,Medium,11844m2,2022-05-18,24.59,2451.63 kWh
BLD-1073-HE,Industrial,Alexandria,&98Smouha,SunDay,High,High,12454m2,2020-09-16,43.58,4355.96 kWh
BLD-1074-QP,Commercial,,&15Gleem,wednesday,High,Low,13581m2,2022-08-22,20.0,3495.35 kWh
BLD-1075-CY,,Cairo,Maadi,Saturday,Medium,High,27428m2,2023-02-26,44.49,5043.32 kWh
BLD-1076-BD,Commercial,Giza,Mohandessin=35,SUNDAY,Low,High,16004m2,2024-08-13,34.21,3915.71 kWh
BLD-1077-EU,Commercial,Cairo,Maadi,Thursday,Low,Low,48351,2024-12-04,37.6,4745.47 kWh
BLD-1078-FZ,Industrial,,Heliopolis_93,monday,Medium,Low,37880,2021-08-05,40.59,4944.4 kWh
BLD-1079-VN,Industrial,Giza,Mohandessin!22,thursday,Medium,Low,47181,2024-10-05,,5571.47 kWh
BLD-1080-TC,Commercial,Cairo,_New Cairo36,FRIDAY,High,Low,13587m2,2021-06-23,30.51,3540.91 kWh
BLD-1081-MM,Industrial,,Maadi!56,WednesDay,Medium,High,14882,2022-12-16,38.64,4435.54 kWh
BLD-1082-TO,Commercial,Alexandria,Smouha-74,WeDnesday,Medium,Medium,49038m2,2024-12-31,49.4,5359.38 kWh
BLD-1083-QI,Residential,Cairo,(Heliopolis86,friDAY,High,Low,41470m2,2021-04-21,33.8,4290.61 kWh
BLD-1084-RA,Commercial,Alexandria,=88Smouha,TuesDay,Medium,Medium,20579m2,2023-09-20,29.38,3787.26 kWh
BLD-1085-VX,Residential,,#66Gleem,friday,Medium,Medium,25780m2,2020-01-01,31.63,3927.94 kWh
BLD-1086-DV,Industrial,,New Cairo#9,thursday,Low,Low,44909,2024-12-31,43.44,4805.17 kWh
BLD-1087-RY,Residential,Alexandria,Gleem,SaturDay,Low,High,2259m2,2022-12-21,27.2,2608.53 kWh
BLD-1088-IY,Residential,Giza,Mohandessin&41,tuesDAY,Low,Medium,6654,2020-01-22,22.65,2497.72 kWh
BLD-1089-UK,Commercial,Giza,_Dokki6,thursDAY,Low,Medium,13303m2,2023-11-25,33.23,3448.03 kWh
BLD-1090-DJ,Residential,Giza,#7Mohandessin,saturday,High,Low,26183,2022-06-01,-3.68,3465.03 kWh
BLD-1091-NF,Commercial,Cairo,)New Cairo64,THursday,Low,Medium,16434,2020-06-17,35.61,3501.94 kWh
BLD-1092-OA,Industrial,Alexandria,Gleem-47,wednESDAY,High,Medium,4763,2022-08-18,-2.56,4209.18 kWh
BLD-1093-XX,,Cairo,=39Heliopolis,sunDAY,Medium,Low,29625,2022-11-06,29.88,3518.13 kWh
BLD-1094-IQ,Commercial,Cairo,New Cairo*25,SATURDAY,Low,High,44361,2022-07-06,39.91,5185.62 kWh
BLD-1095-YF,Commercial,Giza,*Mohandessin13,SaTurday,High,Low,560m2,2020-05-30,20.0,2599.86 kWh
BLD-1096-QD,Residential,Giza,Dokki+37,SUNDAY,Low,Medium,8745m2,2021-02-26,,2728.63 kWh
BLD-1097-UJ,Commercial,Giza,*48Dokki,Wednesday,Low,High,4590m2,2020-01-01,29.08,2961.76 kWh
BLD-1098-UQ,Industrial,Alexandria,-Smouha80,ThursDay,Low,Low,19842,2024-01-27,33.47,3855.63 kWh
BLD-1099-TG,Commercial,,)Smouha63,saturday,High,High,40166m2,2024-12-31,41.59,5343.05 kWh
BLD-1100-EL,Commercial,Cairo,(Maadi97,sunDAY,High,Medium,16905,2024-10-18,28.95,4158.47 kWh
BLD-1101-YF,Commercial,Cairo,_53New Cairo,Tuesday,Medium,High,10647m2,2021-03-06,31.18,3796.71 kWh
BLD-1102-RY,Commercial,Cairo,$Heliopolis33,SATURDAY,Low,Low,4970m2,2021-05-23,24.43,2648.85 kWh
BLD-1103-QA,Residential,Giza,Dokki_13,friDAY,High,Low,2692m2,2021-01-22,22.41,2656.26 kWh
BLD-1104-TK,Industrial,Giza,Dokki)30,ThursDay,Low,Low,981m2,2020-01-01,25.72,2724.82 kWh
BLD-1105-PA,Industrial,Giza,Mohandessin)45,TUESDAY,Medium,High,6683m2,2024-07-21,36.25,4015.3 kWh
BLD-1106-DL,Commercial,Cairo,_Maadi53,WeDnesday,High,Medium,6776m2,2020-04-16,41.11,3722.8 kWh
BLD-1107-ZJ,Residential,Cairo,$78Heliopolis,SuNday,High,Medium,32153,2020-07-09,36.19,4172.08 kWh
BLD-1108-HB,Commercial,Alexandria,)67Smouha,saturday,High,Medium,19287m2,2023-12-28,37.02,4246.55 kWh
BLD-1109-HS,Residential,Giza,%73Mohandessin,tuesDAY,Medium,Low,1399m2,2021-12-19,,2109.01 kWh
BLD-1110-CC,Residential,Alexandria,Gleem_11,Saturday,Medium,High,18949m2,2021-12-09,24.54,3811.73 kWh
BLD-1111-XP,Residential,Alexandria,Smouha%43,wednesday,Low,Low,22254m2,2023-01-14,27.9,2980.23 kWh
BLD-1112-CY,Residential,,!71Smouha,thursDAY,Medium,Low,33421,2023-11-26,31.61,3516.18 kWh
BLD-1113-RY,Residential,Cairo,)62New Cairo,MonDay,High,Low,25262m2,2022-02-10,41.36,3344.42 kWh
BLD-1114-EE,Residential,Alexandria,Gleem,sunDAY,High,Medium,40325m2,2022-01-21,39.05,4901.86 kWh
BLD-1115-VP,Commercial,,Maadi,sunDAY,Low,Medium,36897,2024-10-06,39.92,4683.04 kWh
BLD-1116-RF,Industrial,Cairo,#New Cairo12,tuesDAY,High,Medium,46417m2,2022-07-17,46.4,5973.63 kWh
BLD-1117-IQ,Industrial,Cairo,#27Heliopolis,saturday,Medium,Medium,22515m2,2022-11-13,33.77,4757.71 kWh
BLD-1118-TN,Commercial,Giza,Dokki@22,TuesDay,Low,High,17459m2,2022-02-07,36.72,3554.19 kWh
BLD-1119-GR,Residential,Giza,_55Dokki,FriDay,High,High,39714,2021-05-05,,5094.1 kWh
BLD-1120-YX,Industrial,Giza,=Dokki45,wednesday,High,Medium,43501m2,2024-05-28,,6041.7 kWh
BLD-1121-WG,Residential,Alexandria,#Gleem63,FRIday,High,High,7787m2,2021-07-16,25.74,3272.91 kWh
BLD-1122-WJ,Commercial,Cairo,@Maadi96,FriDay,Low,High,16958m2,2022-01-23,39.07,3744.59 kWh
BLD-1123-MV,Industrial,Cairo,_47Heliopolis,Wednesday,High,Medium,40211m2,2024-12-31,37.87,5589.71 kWh
BLD-1124-UL,Industrial,,Mohandessin+88,Saturday,Low,High,6484,2024-06-11,34.62,3619.74 kWh
BLD-1125-OQ,Residential,Giza,Dokki,SaTurday,High,Low,41496m2,2024-07-17,45.89,4273.37 kWh
BLD-1126-OD,Commercial,,Dokki,tuesday,Medium,Low,20672,2023-04-14,27.72,3651.6 kWh
BLD-1127-HH,Residential,Cairo,Maadi,Wednesday,Low,Low,9101m2,2020-09-14,20.46,2170.7 kWh
BLD-1128-CK,Commercial,Alexandria,Smouha@64,friday,Medium,Low,17827,2022-07-17,30.12,3246.71 kWh
BLD-1129-AS,Commercial,,Smouha@32,Saturday,Medium,Low,12061,2020-01-01,,3010.22 kWh
BLD-1130-RH,Commercial,Cairo,Maadi&92,SUNDAY,Low,High,11862m2,2023-04-13,,3195.8 kWh
BLD-1131-SH,Commercial,,Heliopolis%44,SuNday,Medium,High,24863,2023-02-22,37.21,4414.12 kWh
BLD-1132-AC,Commercial,Cairo,Heliopolis%7,FRIday,Medium,High,9019m2,2022-07-09,28.96,3903.29 kWh
BLD-1133-WU,Commercial,Giza,Mohandessin#6,SaTurday,Low,High,6224,2020-01-01,30.88,3097.45 kWh
BLD-1134-BH,Commercial,Giza,Dokki)66,saturday,Low,High,44013m2,2024-11-16,38.11,5278.51 kWh
BLD-1135-CB,Residential,,Dokki#79,thursDAY,High,Low,30515,2024-02-14,40.7,3901.38 kWh
BLD-1136-KC,Residential,Cairo,+New Cairo15,FRIday,Low,Low,49646,2022-06-13,32.66,4298.92 kWh
BLD-1137-QH,Residential,Alexandria,Gleem*99,Friday,High,Medium,48903m2,2023-12-06,39.17,5015.61 kWh
BLD-1138-IV,Commercial,,^Dokki6,SATURDAY,High,High,9517m2,2020-05-25,38.92,4149.86 kWh
BLD-1139-PG,Commercial,Alexandria,Gleem%46,sunday,Low,High,29878m2,2024-08-21,30.75,4315.75 kWh
BLD-1140-RE,Residential,Cairo,Heliopolis^30,Sunday,High,Low,18771,2023-04-19,29.83,3106.77 kWh
BLD-1141-XS,Residential,Cairo,+14New Cairo,saturDAY,Low,Low,34072,2022-07-06,36.72,3435.18 kWh
BLD-1142-SP,,Cairo,New Cairo,Saturday,Low,Medium,9095m2,2021-01-26,24.24,3536.81 kWh
BLD-1143-HZ,Industrial,Giza,%Dokki49,FRIday,High,Low,26792,2024-12-31,,4874.53 kWh
BLD-1144-PZ,Commercial,Alexandria,$Gleem67,FRIDAY,High,Low,45580,2024-07-21,,4922.36 kWh
BLD-1145-NG,Residential,Cairo,Heliopolis!11,SuNday,Medium,Medium,14525,2020-01-01,,3148.79 kWh
BLD-1146-DD,,,@Heliopolis16,SaturDay,Medium,High,26529m2,2022-11-09,35.85,5143.54 kWh
BLD-1147-VN,Residential,Alexandria,!Smouha85,SuNday,Medium,Medium,19563m2,2020-01-01,25.64,3555.64 kWh
BLD-1148-LN,Industrial,,$Heliopolis89,TuesDay,Low,Medium,13525m2,2022-03-03,35.29,3775.01 kWh
BLD-1149-NO,,Giza,Dokki@41,SaTurday,Low,Low,18086m2,2020-01-01,,2685.54 kWh
BLD-1150-XB,Industrial,Cairo,=32New Cairo,WEDNESDAY,Low,High,31407m2,2023-05-20,,4805.22 kWh
BLD-1151-VU,Industrial,Giza,)Dokki10,SUNDAY,High,High,36454,2024-12-31,,5789.16 kWh
BLD-1152-UD,Commercial,,Smouha,friday,Low,High,35207m2,2021-10-16,35.54,4688.65 kWh
BLD-1153-BM,,Giza,_Mohandessin85,THursday,Medium,Medium,20395,2021-12-19,35.08,3951.62 kWh
BLD-1154-XK,Residential,,(Gleem53,WednesDay,High,Low,48382,2021-08-12,40.48,4779.18 kWh
BLD-1155-ZD,,Alexandria,)Gleem47,tuesday,High,Low,12200m2,2023-12-21,28.78,3621.32 kWh
BLD-1156-HG,Industrial,Giza,Dokki,Sunday,Low,Low,41131,2021-11-04,48.24,4890.31 kWh
BLD-1157-GR,,Cairo,%49New Cairo,WEDNESDAY,High,Low,21177m2,2021-08-06,,4276.15 kWh
BLD-1158-OE,Residential,Alexandria,Smouha,saturday,Low,High,11182m2,2020-06-21,22.96,3028.56 kWh
BLD-1159-NF,Residential,Cairo,Heliopolis,SATURDAY,High,Medium,3208m2,2021-08-11,30.17,2850.05 kWh
BLD-1160-IO,Residential,,_0Smouha,sunday,High,High,2853,2021-02-26,24.22,3074.25 kWh
BLD-1161-HC,Industrial,Giza,)Dokki53,Sunday,High,Medium,9496,2020-09-07,38.53,4104.73 kWh
BLD-1162-OZ,Commercial,,@64Heliopolis,Saturday,Medium,Low,14653m2,2020-01-01,34.69,3214.88 kWh
BLD-1163-RD,Industrial,Giza,-69Dokki,saturDAY,Medium,Low,40829,2023-08-02,36.71,4979.96 kWh
BLD-1164-BU,Industrial,Alexandria,Smouha,TuesDay,High,Medium,34508,2023-08-06,49.09,5682.63 kWh
BLD-1165-RA,Commercial,Giza,Dokki,tuesDAY,Low,High,32396m2,2024-10-06,40.01,4616.98 kWh
BLD-1166-CY,Industrial,Giza,Dokki=16,WednesDay,High,Medium,40185m2,2024-12-31,,5576.14 kWh
BLD-1167-HF,Industrial,Alexandria,Gleem,Saturday,High,High,37765,2024-07-30,50.0,5879.25 kWh
BLD-1168-NP,Commercial,Alexandria,*Gleem22,monday,High,Low,24321m2,2024-05-14,34.54,4212.08 kWh
BLD-1169-PG,Industrial,Cairo,(32New Cairo,SaTurday,Low,Medium,30366,2021-08-09,-4.66,4643.49 kWh
BLD-1170-MB,Residential,Alexandria,#Smouha63,SATURDAY,Low,Low,7991,2022-08-12,20.0,2284.33 kWh
BLD-1171-FM,Residential,Alexandria,Smouha(29,Friday,Low,Low,29041m2,2020-02-14,25.67,3193.51 kWh
BLD-1172-AM,Industrial,Giza,$Mohandessin56,Monday,High,Low,21170m2,2021-10-05,37.22,4522.1 kWh
BLD-1173-IZ,Industrial,Giza,_Mohandessin55,saturday,Low,Low,32098,2021-07-16,37.54,4269.02 kWh
BLD-1174-ZO,Commercial,,@Dokki15,WeDnesday,High,High,23911m2,2021-08-29,41.64,4978.71 kWh
BLD-1175-JN,Residential,Giza,_Dokki21,Wednesday,Medium,High,17529,2020-03-04,,3639.76 kWh
BLD-1176-WX,Industrial,Giza,)56Mohandessin,Wednesday,Medium,Medium,8507m2,2021-01-19,33.15,3798.54 kWh
BLD-1177-ZR,Commercial,,#Dokki65,friday,High,Medium,36159m2,2024-12-31,47.54,5076.4 kWh
BLD-1178-VW,Commercial,,$45Gleem,Thursday,High,High,9002m2,2022-09-10,34.46,4211.82 kWh
BLD-1179-PE,Residential,Alexandria,=Smouha47,MoNday,Low,High,40415m2,2020-08-21,,4548.56 kWh
BLD-1180-GJ,Commercial,Alexandria,!28Gleem,WednesDay,Low,Medium,13761,2020-04-16,-3.58,3171.27 kWh
BLD-1181-GB,Residential,Cairo,New Cairo#28,SaTurday,High,Medium,14007m2,2022-11-21,28.63,3701.39 kWh
BLD-1182-SX,Commercial,Cairo,New Cairo+33,TuesDay,Low,Low,1468m2,2020-01-01,20.0,2365.5 kWh
BLD-1183-RB,Industrial,Cairo,Maadi,ThursDay,Low,High,13308m2,2022-08-21,36.86,4056.28 kWh
BLD-1184-XK,Industrial,Alexandria,$Gleem72,Saturday,Low,High,46148,2024-12-31,43.97,5718.21 kWh
BLD-1185-BB,Industrial,Alexandria,Smouha(76,TUESDAY,Medium,Medium,30469m2,2021-02-22,43.76,5002.91 kWh
BLD-1186-SP,,Alexandria,+Smouha88,MoNday,Low,Medium,9442m2,2023-09-13,35.32,3815.61 kWh
BLD-1187-QQ,Commercial,Cairo,Heliopolis,SaTurday,Low,Medium,28571,2022-02-17,33.79,3964.54 kWh
BLD-1188-FB,Commercial,,Dokki=77,WednesDay,Low,Low,26672,2023-07-02,26.72,3384.78 kWh
BLD-1189-QC,Commercial,Giza,=73Mohandessin,Saturday,High,Low,25291m2,2022-05-22,29.68,4348.86 kWh
BLD-1190-FC,Industrial,Giza,-Dokki12,tuesDAY,Medium,High,22616,2021-10-02,37.53,4841.23 kWh
BLD-1191-TC,Industrial,Cairo,%Heliopolis86,Monday,High,Medium,33726m2,2023-08-03,47.88,5565.67 kWh
BLD-1192-VH,Residential,,#35Smouha,friday,Medium,Medium,2896m2,2022-04-19,27.16,2684.98 kWh
BLD-1193-MD,Industrial,Alexandria,)41Smouha,SuNday,Medium,Medium,27876,2023-04-12,-1.46,4881.83 kWh
BLD-1194-SH,Industrial,Giza,-Dokki79,ThursDay,Medium,Low,43374,2023-12-28,-4.84,5600.03 kWh
BLD-1195-ST,Residential,,#Gleem83,monday,High,High,32487m2,2024-11-25,42.39,5020.9 kWh
BLD-1196-BT,Commercial,Cairo,@94Heliopolis,TuesDay,Low,Medium,44085m2,2023-02-14,35.93,4900.84 kWh
BLD-1197-CN,Commercial,Cairo,+New Cairo31,saturDAY,Low,Low,13721m2,2022-07-02,28.0,2864.63 kWh
BLD-1198-VS,Industrial,Alexandria,@Gleem80,SATURDAY,High,Medium,36559m2,2024-07-23,44.15,5543.64 kWh
BLD-1199-SQ,Industrial,Giza,Dokki+14,tuesDAY,Medium,Low,21453m2,2024-07-05,30.6,4227.17 kWh
BLD-1200-KI,Residential,Alexandria,Gleem-99,Friday,Medium,Medium,49810m2,2021-06-25,-0.81,5227.37 kWh
BLD-1201-GV,,,Smouha!20,Sunday,High,High,27245,2021-12-21,45.99,5474.72 kWh
BLD-1202-WK,Industrial,Giza,-Mohandessin86,friday,High,High,7283m2,2022-09-09,42.78,4576.47 kWh
BLD-1203-HI,Industrial,Giza,Dokki)97,sunday,Medium,Medium,47827,2021-10-19,49.21,5637.13 kWh
BLD-1204-ME,Industrial,,New Cairo,Sunday,Medium,Medium,16922m2,2023-07-25,29.35,4195.75 kWh
BLD-1205-VU,Residential,Cairo,!64Maadi,WeDnesday,Medium,Medium,29206,2020-10-03,29.62,3920.23 kWh
BLD-1206-JO,Commercial,Cairo,_Maadi57,Monday,Low,Medium,6616m2,2022-01-07,-3.9,2721.67 kWh
BLD-1207-KY,Residential,Alexandria,_Gleem94,Sunday,High,Medium,22010,2020-01-01,35.05,3741.64 kWh
BLD-1208-CA,Commercial,Alexandria,Smouha,SaturDay,High,High,3593,2021-08-17,35.22,3768.3 kWh
BLD-1209-OT,Industrial,Cairo,Heliopolis,saturDAY,High,Low,15874m2,2023-04-16,50.0,4318.82 kWh
BLD-1210-SD,Residential,,(92Gleem,SuNday,Medium,Low,10416,2020-01-01,,2512.1 kWh
BLD-1211-CR,Commercial,Cairo,+67Heliopolis,SunDay,High,High,9205m2,2022-02-16,,4288.58 kWh
BLD-1212-GQ,Industrial,Giza,Dokki,SATURDAY,Low,Medium,29902m2,2022-01-21,43.22,4741.16 kWh
BLD-1213-IE,Commercial,Giza,=Mohandessin71,WeDnesday,Medium,Low,7714m2,2022-11-10,31.2,3019.12 kWh
BLD-1214-LC,,Alexandria,Gleem+43,SunDay,Medium,Medium,24854m2,2021-03-21,-1.71,4710.15 kWh
BLD-1215-HL,Industrial,Giza,+68Dokki,Saturday,Medium,Medium,29269,2021-03-09,41.47,4600.3 kWh
BLD-1216-JF,Industrial,Alexandria,Gleem@60,SunDay,High,Medium,45055m2,2024-01-19,42.78,5925.39 kWh
BLD-1217-OR,,Cairo,=New Cairo22,tuesday,Low,Low,17843m2,2020-01-08,23.65,2445.25 kWh
BLD-1218-WJ,Residential,Alexandria,Smouha(78,SuNday,High,High,15817m2,2022-11-07,31.87,3955.17 kWh
BLD-1219-TZ,Residential,Alexandria,Gleem,Wednesday,Medium,High,34768m2,2024-12-25,38.99,4692.24 kWh
BLD-1220-UQ,Residential,Cairo,New Cairo*1,sunDAY,High,High,8625m2,2022-06-01,41.27,3437.1 kWh
BLD-1221-AV,Residential,Giza,@Mohandessin98,TuesDay,High,Low,5609m2,2020-05-22,20.0,2514.4 kWh
BLD-1222-RJ,Commercial,Giza,Dokki_16,Sunday,High,Low,35942m2,2024-07-01,41.98,4736.66 kWh
BLD-1223-VD,,,+90Maadi,FRIday,Low,High,45047m2,2024-12-31,37.91,5750.07 kWh
BLD-1224-EI,Industrial,Giza,^Mohandessin68,sunday,Medium,Medium,20316m2,2020-03-28,-2.16,4331.04 kWh
